agency,agencyId,title,deadline,reference,budget,details,keywords
nsf,nsf07563,NSF 07 563 Materials Research Science and Engineering Centers MRSEC,2008-1-18,https://www.nsf.gov/pubs/2007/nsf07563/nsf07563.htm,"29,000,000",Supports interdisciplinary materials research and education while addressing fundamental problems in science and engineering . MRSECs require outstanding research quality and intellectual breadth provide support for research infrastructure and flexibility in responding to new opportunities and strongly emphasize the integration of research and education . These centers foster active collaboration between universities and other sectors including industry and they constitute a national network of university based centers in materials research . MRSECs address problems of a scope or complexity requiring the advantages of scale and interdisciplinary interaction provided by a center . A MRSEC may be located at a single institution or may involve two or more institutions in partnership .,"[""research"",""interdisciplinary"",""problems"",""centers"",""mrsecs"",""materials"",""education""]"
nsf,nsf13556,NSF 13 556 Materials Research Science and Engineering Centers,2014-1-10,https://www.nsf.gov/pubs/2013/nsf13556/nsf13556.htm,"25,000,000",Materials Research Science and Engineering Centers MRSECs provide sustained support of interdisciplinary materials research and education of the highest quality while addressing fundamental problems in science and engineering . MRSECs address research of a scope and complexity requiring the scale synergy and interdisciplinarity provided by a campus based research center . They support materials research infrastructure in the United States promote active collaboration between universities and other sectors including industry and international institutions and contribute to the development of a national network of university based centers in materials research education and facilities . A MRSEC may be located at a single institution or may involve multiple institutions in partnership .,"[""research"",""materials"",""engineering"",""based"",""mrsecs""]"
nsf,nsf16545,NSF 16 545 Materials Research Science and Engineering Centers,2016-12-02,https://www.nsf.gov/pubs/2016/nsf16545/nsf16545.htm,"23,000,000",Materials Research Science and Engineering Centers MRSECs provide sustained support of interdisciplinary materials research and education of the highest quality while addressing fundamental problems in science and engineering . MRSECs address research of a scope and complexity requiring the scale synergy and interdisciplinarity provided by a campus based research center . They support materials research infrastructure in the United States promote active collaboration between universities and other sectors including industry and international institutions and contribute to the development of a national network of university based centers in materials research education and facilities . A MRSEC may be located at a single institution or may involve multiple institutions in partnership .,"[""research"",""materials"",""engineering"",""based"",""education""]"
nsf,nsf04580,NSF 04 580 Materials Research Science and Engineering Centers MRSEC,2005-1-24,https://www.nsf.gov/pubs/2004/nsf04580/nsf04580.htm,"26,000,000",Supports interdisciplinary materials research and education while addressing fundamental problems in science and engineering . MRSECs require outstanding research quality and intellectual breadth provide support for research infrastructure and flexibility in responding to new opportunities and strongly emphasize the integration of research and education . These centers foster active collaboration between universities and other sectors including industry and they constitute a national network of university based centers in materials research . MRSECs address problems of a scope or complexity requiring the advantages of scale and interdisciplinary interaction provided by a campus based research center .,"[""research"",""problems"",""mrsecs"",""materials"",""education"",""centers""]"
nsf,nsf19517,NSF 19 517 Materials Research Science and Engineering Centers MRSEC,2019-11-26,https://www.nsf.gov/pubs/2019/nsf19517/nsf19517.htm,,The Materials Research Science and Engineering Centers MRSECs program provides sustained support of interdisciplinary materials research and education of the highest quality while addressing fundamental problems in science and engineering . Each MRSEC addresses research of a scope and complexity requiring the scale synergy and multidisciplinarity provided by a campus based research center . The MRSECs support materials research infrastructure in the United States promote active collaboration between universities and other sectors including industry and international organizations and contribute to the development of a national network of university based centers in materials research education and facilities . A MRSEC may be located at a single institution or may involve multiple institutions in partnership and is composed of up to three Interdisciplinary Research Groups IRGs each addressing a fundamental materials science topic aligned with the Division of Materials Research DMR .,"[""research"",""materials"",""science"",""education""]"
nsf,nsf09600,NSF 09 600 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad MWN,2009-11-11,https://www.nsf.gov/pubs/2009/nsf09600/nsf09600.htm,"2,500,000",Continued progress in fundamental materials and condensed matter research is increasingly dependent upon collaborative efforts among different disciplines as well as closer coordination among funding agencies and effective partnerships involving universities industry and national laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view as well . The National Science Foundation is working jointly with counterpart national regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad . This solicitation describes an activity to foster opportunities for such collaborations . It includes joint activities between NSF and funding organizations in Africa Asia and Europe . Proposals submitted to NSF in response to this solicitation must have clear relevance to research supported by the NSF Division of Materials Research DMR as they will be evaluated within the context of programmatic areas within DMR condensed matter physics solid state and materials chemistry polymers biomaterials metallic materials and nanostructures ceramics electronic and photonic materials and condensed matter and materials theory . Proposals not appropriate for DMR consideration will be returned without review . NSF will accept proposals from US universities and colleges addressing collaborations between researchers from the US and participating countries or regions . Concurrently investigators at non US research institutions should submit to the counterpart funding organization in their country or region a request for support of their side of the collaboration . Investigators in Africa may also seek support for their side of the collaboration through the US Air Force Office of Scientific Research AFOSR African Materials Initiative see section IX . NSF will consider support of all appropriate research costs for the US side of such collaborations with the expectation that funding or research organizations from the appropriate countries or regions will consider supporting the costs of the non US participants . Projects proposed to NSF are expected to offer students and junior researchers the opportunity to participate in international research and education experiences and more generally for integrating research and training in an international environment and to clearly demonstrate the value added by the international collaboration . Projects are also expected to broaden the participation of underrepresented groups e . g . gender ethnicity disability geographic etc .,"[""research"",""materials"",""nsf""]"
nsf,nsf04599,NSF 04 599 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad,2004-10-14,https://www.nsf.gov/pubs/2004/nsf04599/nsf04599.htm,"5,000,000",Continued progress in materials research is increasingly dependent upon collaborative efforts among several different disciplines as well as closer coordination among funding agencies and effective partnerships involving universities industry and national laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view as well . The National Science Foundation is working together with counterpart national and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research between US investigators and their colleagues abroad . This solicitation describes an activity to foster opportunities for collaboration in materials research between investigators in the US and their counterparts abroad . It includes joint activities between NSF and funding organizations in a the Americas through the Inter American Materials Collaboration CIAM b Europe including national European funding organizations the European Science Foundation and the European Commission and c other countries or regions . Proposals submitted to NSF in response to this solicitation must have clear relevance to fundamental materials phenomena synthesis characterization properties and or processing . NSF will accept proposals from eligible US institutions addressing collaborations between researchers from the US and participating countries regions . Concurrently investigators at institutions abroad should submit to the counterpart funding organization in their country region a request for support of their side of the collaboration . NSF will consider support for the US side of such collaborations with the expectation that funding or research organizations from the appropriate countries regions will consider supporting the costs of the non US participants . Projects proposed to NSF are expected to offer students and junior researchers the opportunity to participate in an international research and education experience and more generally for integrating research and training in an international environment and to clearly demonstrate the value added by the international collaboration .,"[""funding"",""materials"",""national"",""nsf"",""research""]"
nsf,nsf06590,NSF 06 590 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad,2006-11-20,https://www.nsf.gov/pubs/2006/nsf06590/nsf06590.htm,"2,500,000",Continued progress in fundamental materials and condensed matter research is increasingly dependent upon collaborative efforts among several different disciplines as well as closer coordination among funding agencies and effective partnerships involving universities industry and national laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view as well . The National Science Foundation is working jointly with counterpart national regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad . This solicitation describes an activity to foster opportunities for such collaborations . It includes joint activities between NSF and funding organizations in Africa the Americas Asia Europe and other regions . Proposals submitted to NSF in response to this solicitation must have clear relevance to research supported by the NSF Division of Materials Research DMR as they will be evaluated within the context of programmatic areas within DMR . Proposals not appropriate for DMR consideration will be returned without review . NSF will accept proposals from US universities and colleges addressing collaborations between researchers from the US and participating countries or regions . Concurrently investigators at non US research institutions should submit to the counterpart funding organization in their country or region a request for support of their side of the collaboration . NSF will consider support of all appropriate research costs in the US side of such collaborations with the expectation that funding or research organizations from the appropriate countries or regions will consider supporting the costs of the non US participants . Projects proposed to NSF are expected to offer students and junior researchers the opportunity to participate in an international research and education experience and more generally for integrating research and training in an international environment and to clearly demonstrate the value added by the international collaboration .,"[""research"",""funding"",""nsf""]"
nsf,nsf07574,NSF 07 574 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad MWN,2007-11-13,https://www.nsf.gov/pubs/2007/nsf07574/nsf07574.htm,"2,500,000",Continued progress in fundamental materials and condensed matter research is increasingly dependent upon collaborative efforts among different disciplines as well as closer coordination among funding agencies and effective partnerships involving universities industry and national laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view as well . The National Science Foundation is working jointly with counterpart national regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad . This solicitation describes an activity to foster opportunities for such collaborations . It includes joint activities between NSF and funding organizations in Africa Asia Europe and other regions . Proposals submitted to NSF in response to this solicitation must have clear relevance to research supported by the NSF Division of Materials Research DMR as they will be evaluated within the context of programmatic areas within DMR . Proposals not appropriate for DMR consideration will be returned without review . NSF will accept proposals from US universities and colleges addressing collaborations between researchers from the US and participating countries or regions . Concurrently investigators at non US research institutions should submit to the counterpart funding organization in their country or region a request for support of their side of the collaboration . NSF will consider support of all appropriate research costs for the US side of such collaborations with the expectation that funding or research organizations from the appropriate countries or regions will consider supporting the costs of the non US participants . Projects proposed to NSF are expected to offer students and junior researchers the opportunity to participate in international research and education experiences and more generally for integrating research and training in an international environment and to clearly demonstrate the value added by the international collaboration .,"[""research"",""nsf"",""funding""]"
nsf,nsf08590,NSF 08 590 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad MWN,2008-11-17,https://www.nsf.gov/pubs/2008/nsf08590/nsf08590.htm,"2,500,000",Continued progress in fundamental materials and condensed matter research is increasingly dependent upon collaborative efforts among different disciplines as well as closer coordination among funding agencies and effective partnerships involving universities industry and national laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view as well . The National Science Foundation is working jointly with counterpart national regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad . This solicitation describes an activity to foster opportunities for such collaborations . It includes joint activities between NSF and funding organizations in Africa the Americas Asia and Europe . Proposals submitted to NSF in response to this solicitation must have clear relevance to research supported by the NSF Division of Materials Research DMR as they will be evaluated within the context of programmatic areas within DMR condensed matter physics solid state and materials chemistry polymers biomaterials metals ceramics electronic materials and condensed matter and materials theory . Proposals not appropriate for DMR consideration will be returned without review . NSF will accept proposals from US universities and colleges addressing collaborations between researchers from the US and participating countries or regions . Concurrently investigators at non US research institutions should submit to the counterpart funding organization in their country or region a request for support of their side of the collaboration . NSF will consider support of all appropriate research costs for the US side of such collaborations with the expectation that funding or research organizations from the appropriate countries or regions will consider supporting the costs of the non US participants . Projects proposed to NSF are expected to offer students and junior researchers the opportunity to participate in international research and education experiences and more generally for integrating research and training in an international environment and to clearly demonstrate the value added by the international collaboration . Projects are also expected to broaden the participation of underrepresented groups e . g . gender ethnicity disability geographic etc .,"[""research"",""nsf"",""materials"",""funding""]"
nsf,nsf10588,NSF 10 588 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad MWN,2010-11-10,https://www.nsf.gov/pubs/2010/nsf10588/nsf10588.htm,"$2,500,000 to $4,500,000",Continued progress in fundamental materials and condensed matter research isincreasingly dependent upon collaborative efforts among different disciplines as well as closercoordination among funding agencies and effective partnerships involving universities industry andnational laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view aswell . The National Science Foundation is working jointly with counterpart national regional andmultinational funding organizations worldwide to enhance opportunities for collaborative activitiesin materials research and education between US investigators and their colleagues abroad . Thissolicitation describes an activity to foster opportunities for such collaborations . It includesjoint activities between NSF and funding organizations in Africa the Americas through theInter American Materials Collaboration CIAM Asia and Europe . Proposals submitted toNSF in response to this solicitation must have clear relevance to research supported by the NSFDivision of Materials Research DMR as they will be evaluated within the context of programmaticareas within DMR condensed matter physics solid state and materials chemistry polymers biomaterials metallic materials and nanostructures ceramics electronic and photonic materials and condensed matter and materials theory . Proposals not appropriate for DMR consideration willbe returned without review . NSF will accept proposals from US academicinstitutions addressing collaborations between researchers from the US and participatingcountries or regions . Concurrently investigators at non US research institutions should submit tothe counterpart funding organization in their country or region a request for support of their sideof the collaboration . NSF will consider support of all appropriate research costs for the USside of such collaborations with the expectation that funding or research organizations from theappropriate countries or regions will consider supporting the costs of the non US participants . Projects proposed to NSF are expected to offer students and junior researchers the opportunity toparticipate in international research and education experiences and more generally tointegrate research and education in an international environment and to clearly demonstratethe value added by the international collaboration . Projects are also expected to broaden theparticipation of underrepresented groups including women minorities and persons withdisabilities .,"[""research"",""materials"",""funding"",""international""]"
nsf,nsf11568,NSF 11 568 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad MWN,2011-11-10,https://www.nsf.gov/pubs/2011/nsf11568/nsf11568.htm,"2,500,000",Continued progress in fundamental materials and condensed matter research is increasingly dependent upon collaborative efforts among different disciplines as well as closer coordination among funding agencies and effective partnerships involving universities industry and national laboratories . In addition because of the growing interdependence of the world s economies partnerships are important not only at the national level but from an international point of view as well . The National Science Foundation is working jointly with counterpart national regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad . This solicitation describes an activity to foster opportunities for such collaborations . It includes joint activities between the NSF Division of Materials Research DMR and funding organizations in Africa Asia and Europe . Funding organizations in the Americas participate in this joint activity with DMR every other year on even years and therefore are not listed as participating organizations in this solicitation for 2011 . NSF also partners with the U . S . Agency for International Development USAID in this activity and encourages projects for materials research and education collaborations with investigators from developing countries where the work of the developing country participants is supported by USAID either through the USAID Partnerships for Enhanced Engagement in Research PEER program or other appropriate USAID program . A list of developing countries where USAID operates may be found at http www . usaid . gov locations . Proposals submitted to NSF in response to this solicitation must have clear relevance to research supported by the NSF Division of Materials Research DMR as they will be evaluated within the context of programmatic areas within DMR condensed matter physics solid state and materials chemistry polymers biomaterials metals and metallic nanostructures ceramics electronic and photonic materials and condensed matter and materials theory . Investigators are strongly advised to contact NSF staff in advance to ascertain that the research planned fits within the scope of the solicitation . Proposals not appropriate for DMR consideration will be returned without review . NSF will accept proposals from US academic institutions addressing collaborations between researchers from the US and participating countries or regions . Concurrently investigators at non US research institutions should submit to the counterpart funding organization in their country or region a request for support of their side of the collaboration . NSF will consider support of all appropriate research costs for the US side of such collaborations with the expectation that funding or research organizations from the appropriate countries or regions will consider supporting the costs of the non US participants . In the case of collaborations with participants from developing countries where the developing country participants currently have or are in the process of seeking USAID support US investigators are encouraged to contact DMR staff listed in this solicitation for additional up to date guidance . Projects proposed to NSF are expected to offer students and junior researchers the opportunity to participate in international research and education experiences including appropriate resource allocation in the budget request for this purpose and to clearly demonstrate the value added by the international collaboration . Projects are also expected to broaden the participation of underrepresented groups including women minorities and persons with disabilities .,"[""research"",""nsf"",""funding"",""materials"",""dmr""]"
nsf,nsf12593,NSF 12 593 Materials World Network Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad MWN,2012-11-14,https://www.nsf.gov/pubs/2012/nsf12593/nsf12593.htm,"2,500,000",The National Science Foundation NSF is working jointly with counterpart national regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad . This solicitation promotes joint activities between the NSF Division of Materials Research DMR and funding organizations in Africa Asia the Americas and Europe . Proposals submitted to NSF in response to this solicitation must have clear relevance to fundamental materials and condensed matter research supported by the NSF Division of Materials Research DMR . Projects not having this focus will not be considered for funding . Proposals will be evaluated within the context of programmatic areas supported by DMR condensed matter physics solid state and materials chemistry polymers biomaterials metallic materials and nanostructures ceramics electronic and photonic materials and condensed matter and materials theory . For areas supported by DMR seehttps www . nsf . gov materials . In addition this year the Materials World Network MWN program will particularly focus on proposals related to Sustainable Materials DMR s effort inSustainable Chemistry Engineering and Materials SusChEM . This initiative is described by NSF 12 095 and is aimed at enabling the basic science and engineering discoveries that will reduce dependence on non renewable resources and improve efficiency of industrial processes . Research projects that target the discovery of new materials or make materials more sustainable through improved synthesis enhanced applications and or advances in lifecycle management are particularly encouraged for the Materials World Network program . It is strongly recommended that proposers contact the cognizant program officer listed in this solicitation to ascertain that the scientific focus of the proposed research is appropriate for the solicitation . Proposals not appropriate for consideration by the Division of Materials Research will be returned without review . Proposals that focus on any area of interest to the Division of Materials Research will be considered .,"[""materials"",""research"",""nsf""]"
nsf,nsf08525,NSF 08 525 Math and Science Partnership MSP,2008-3-25,https://www.nsf.gov/pubs/2008/nsf08525/nsf08525.htm,"40,000,000",The Math and Science Partnership MSP program is a major research and development effort that supports innovative partnerships to improve K 12 student achievement in mathematics and science . MSP projects are expected to raise the achievement levels of all students and significantly reduce achievement gaps in the mathematics and science performance of diverse student populations . In order to improve the mathematics and science achievement of the Nation s students MSP projects contribute to the knowledge base for mathematics and science education and serve as models that have a sufficiently strong evidence base to be replicated in educational practice . In this solicitation NSF seeks to support six types of awards Targeted Partnerships focus on studying and addressing issues within a specific grade range or at a critical juncture in education and or within a specific disciplinary focus in mathematics or the sciences Institute Partnerships Teacher Institutes for the 21st Century are designed to meet national needs for teacher leaders master teachers who have deep knowledge of disciplinary content and are school or district based intellectual leaders in mathematics and science MSP Start Partnerships are for awardees new to the MSP program especially from minority serving institutions community colleges and primarily undergraduate institutions to support the necessary data analysis project design evaluation and team building activities needed to develop a full MSP Targeted or Institute Partnership Phase II Partnerships for prior MSP Partnership awardees focus on specific innovative areas of their work where evidence of significant positive impact is clearly documented and where an investment of additional resources and time would produce more robust findings and results Research Evaluation and Technical Assistance RETA projects directly support the work of the Partnerships especially by developing tools to assess teachers growth in the knowledge of mathematics or the sciences needed for teaching conducting longitudinal studies of teachers and their students who participate in the MSP projects or engaging the national disciplinary and professional societies in MSP work andInnovation through Institutional Integration I3 projects enable institutions to think and act strategically about the creative integration of NSF funded awards with particular emphasis on awards managed through programs in the Directorate for Education and Human Resources EHR but not limited to those awards . For Fiscal Year 2008 proposals are being solicited in six EHR programs that advance I3 goals CREST ITEST MSP Noyce RDE and TCUP .,"[""msp"",""mathematics"",""partnerships"",""science""]"
nsf,nsf06539,NSF 06 539 Math and Science Partnership MSP,2006-5-17,https://www.nsf.gov/pubs/2006/nsf06539/nsf06539.htm,"13,000,000",The Math and Science Partnership MSP program is a major research and development effort that supports innovative partnerships to improve K 12 student achievement in mathematics and science . MSP projects are expected to both raise the achievement levels of all students and significantly reduce achievement gaps in the mathematics and science performance of diverse student populations . Successful projects serve as models that can be widely replicated in educational practice to improve the mathematics and science achievement of all the Nation s students . In this solicitation NSF seeks to support two types of MSP projects Institute Partnerships Teacher Institutes for the 21st Century especially for the science disciplines in the secondary grades and for elementary science specialists anda focused set of Research Evaluation and Technical Assistance RETA projects that directly support the work of the Institutes or engage the national disciplinary and professional societies in MSP work .,"[""science"",""msp"",""achievement"",""projects""]"
nsf,nsf09507,NSF 09 507 Math and Science Partnership MSP,2009-2-17,https://www.nsf.gov/pubs/2009/nsf09507/nsf09507.htm,"35,000,000",The Math and Science Partnership MSP program is a major research and development effort that supports innovative partnerships to improve K 12 student achievement in mathematics and science . MSP projects are expected to raise the achievement levels of all students and significantly reduce achievement gaps in the mathematics and science performance of diverse student populations . In order to improve the mathematics and science achievement of the Nation s students MSP projects contribute to what is known in mathematics and science education and serve as models that have a sufficiently strong evidence research base to improve the mathematics and science education outcomes for all students . NSF s MSP program coordinates its effort with the Mathematics and Science Partnerships program of the U . S . Department of Education in the expectation that effective innovations in mathematics and science education will be disseminated into wider practice . The two programs are significant components of the America COMPETES Act of 2007 Public Law 110 69 . Through this solicitation NSF seeks to support five types of MSP awards plus EHR wide projects Targeted Partnerships focus on studying and solving teaching and learning issues within a specific grade range or at a critical juncture in education and or within a specific disciplinary focus in mathematics or the sciences Institute Partnerships Teacher Institutes for the 21st Century focus on meeting national needs for teacher leaders master teachers who have deep knowledge of disciplinary content for teaching and are fully prepared to be school or district based intellectual leaders in mathematics or the sciences MSP Start Partnerships are for awardees new to the MSP program especially from minority serving institutions community colleges and primarily undergraduate institutions to support the necessary data analysis project design evaluation and team building activities needed to develop a full MSP Targeted or Institute Partnership Phase II Partnerships for prior MSP Partnership awardees focus on specific innovative areas of their work where evidence of the potential for significant positive impact is clearly documented . The intent is that focused efforts carry out the necessary research to advance knowledge and understanding in the specific area s . Research Evaluation and Technical Assistance RETA projects directly support the work of the Partnerships by conducting methodologically rigorous studies of the impacts of MSP activities on student or teacher learning . Longitudinal and cross site studies are particularly encouraged as are those that test innovative methodologies and Innovation through Institutional Integration I3 projects enable faculty administrators and others in institutions to think and act strategically about the creative integration of NSF funded awards with particular emphasis on awards managed through programs in the Directorate for Education and Human Resources EHR but not limited to those awards . For Fiscal Year 2010 proposals are being solicited in nine EHR programs that advance I3 goals CREST GSE HBCU UP ITEST LSAMP MSP Noyce RDE and TCUP .,"[""science"",""mathematics"",""msp"",""partnerships""]"
nsf,nsf10556,NSF 10 556 Math and Science Partnership MSP,2010-7-08,https://www.nsf.gov/pubs/2010/nsf10556/nsf10556.htm,"42,000,000",The Math and Science Partnership MSP program is a major research and developmenteffort that supports innovative partnerships to improve K 12 student achievement in mathematics andscience . MSP projects are expected to raise the achievement levels of all students and significantlyreduce achievement gaps in the mathematics and science performance of diverse student populations . In order to improve the mathematics and science achievement of the Nation s students MSP projectscontribute to what is known in mathematics and science education and serve as models that have asufficiently strong evidence research base to improve the mathematics and science education outcomesfor all students . NSF s MSP program coordinates its effort with programs of the U . S . Departmentof Education in the expectation that effective innovations in mathematics and science education willbe disseminated into wider practice . Through this solicitation NSF seeks to support fivetypes of awards Targeted Partnerships focus on studying andsolving teaching and learning issues within a specific grade range or at a critical juncture ineducation and or within a specific disciplinary focus in mathematics or thesciences Institute Partnerships Teacher Institutes for the 21stCentury focus on meeting national needs for teacher leaders master teachers who havedeep knowledge of disciplinary content for teaching and are fully prepared to be school ordistrict based intellectual leaders in mathematics or the sciences MSP StartPartnerships are for awardees new to the MSP program especially from minority servinginstitutions community colleges and primarily undergraduate institutions to support the necessarydata analysis project design evaluation and team building activities needed to develop a full MSPTargeted or Institute Partnership Phase II Partnerships are forprior NSF MSP Partnership awardees to continue implementation on specific innovative areas of theirwork where evidence of the potential for significant positive impact is clearly documented . Theintent is that there will be focused efforts to carry out the necessary research to advanceknowledge and understanding in the specific area s andResearch Evaluationand Technical Assistance RETA projects a study the relationships among MSP activities and student learning using theoreticallyinformed methodologically rigorous methods b develop and validate instruments of teacher orstudent knowledge that MSPs and others can use to assess the impact of their work or c providetechnical assistance to MSP projects to help them rigorously evaluate theirwork .,"[""msp"",""mathematics"",""science""]"
nsf,nsf12518,NSF 12 518 Math and Science Partnership MSP,2012-3-05,https://www.nsf.gov/pubs/2012/nsf12518/nsf12518.htm,"Anticipated Funding Amount:  $55,000,000
        ",The Math and Science Partnership MSP program is a major research and development effort that supports innovative partnerships to improve K 12 student achievement in mathematics and science . MSP projects are expected to raise the achievement levels of all students and significantly reduce achievement gaps in the STEM performance of diverse student populations . MSP projects contribute to what is known in K 12 STEM education . All STEM Science Technology Engineering and Mathematics fields supported by NSF may be involved in this work with special encouragement to areas that are gaining increased traction at the K 12 level such as computer science and engineering in addition to mathematics and science . MSP projects also serve as models that have a sufficiently strong evidence research base to improve STEM education outcomes for all students . Through this solicitation NSF seeks to support two levels of Targeted Partnership awards Implementation and Prototype . Implementation awards are intended to develop and put into practice innovative approaches and strategies in education . Prototype awards explore potentially innovative approaches and strategies in education . Both types of Partnerships incorporate significant new innovations to STEM education linked to a strong educational research agenda in one of four focal areas Community Enterprise for STEM Learning Current Issues Related to STEM Content Identifying and Cultivating Exceptional Talent and K 12 STEM Teacher Preparation . In addition there are three types of Research Evaluation and Technical Assistance RETA project opportunities in this solicitation research related to sustainability or policies or state plans for STEM education technical assistance for evaluators of MSP projects and the STEM Education Resource Collaboratory .,"[""stem"",""education"",""msp"",""research""]"
nsf,nsf03605,NSF 03 605 Math and Science Partnership Program,2003-12-16,https://www.nsf.gov/pubs/2003/nsf03605/nsf03605.htm,"75,000,000",The Math and Science Partnership MSP program is a major research and development effort that supports innovative partnerships to improve K 12 student achievement in mathematics and science . MSP projects are expected to both raise the achievement levels of all students and significantly reduce achievement gaps in the mathematics and science performance of diverse student populations . Successful projects serve as models that can be widely replicated in educational practice to improve the mathematics and science achievement of all the Nation s students . In this solicitation NSF seeks to support three types of MSP projects Targeted Partnerships for the secondary i . e . middle and high school grade levels Institute Partnerships Teacher Institutes for the 21st Century anda focused set of Research Evaluation and Technical Assistance RETA projects that directly support the work of the Institutes .,"[""science"",""projects"",""achievement"",""mathematics"",""partnerships""]"
nsf,nsf03541,"NSF 03 541 Math and Science Partnership Research , Evaluation , and Technical Assistance MSP RETA",2003-5-12,https://www.nsf.gov/pubs/2003/nsf03541/nsf03541.htm,"25,000,000",The Math and Science Partnership MSP programbuilds on the nation s dedication to improve mathematics andscience education through support of partnerships that unite theefforts of local school districts with faculties of colleges anduniversities especially disciplinary faculties in mathematics science and engineering and with otherstakeholders . The MSP program seeks to improve studentoutcomes in mathematics and science for all students at all K 12levels . This solicitation addresses the research evaluation and technical assistance MSP RETA component of theMSP program . The MSP RETA projects are intended to enhance thecapacity of the MSP Comprehensive and Targeted MSP C T projects to achieve their goals and to contribute to thedevelopment and dissemination of the knowledge base necessary toachieve sustained educational reform . MSP RETA accomplishesits purpose through Theoretically informed methodologically rigorous projects that contribute to the understanding of the processes that support continuous improvement of K 12 mathematics and science teaching and learning by using the MSP C T projects as research sites Rigorous innovative evaluation projects that develop new models and tools for documenting assessing and assisting MSP C T projects progress toward their goals andTechnical assistance projects that build on a strong research base and that develop implement and evaluate both a models of support and b tools for the MSP projects particularly in the use of research and data .,"[""projects"",""msp"",""research"",""mathematics"",""science""]"
nsf,nsf05510,NSF 05 510 Mathematical Sciences Postdoctoral Research Fellowships,"wednesday ; october
				
    				

annually ; 2005",https://www.nsf.gov/pubs/2005/nsf05510/nsf05510.htm,"3,800,000",The purpose of the Mathematical Sciences Postdoctoral Research Fellowships MSPRF is to support future leaders in the mathematical sciences by enabling them to participate in research environments that will have maximal impact on their future scientific development . There will be two options for awardees Research Fellowship and Research Instructorship . Awards will be made for appropriate research in areas of the mathematical sciences including applications to other disciplines .,"[""research"",""sciences"",""mathematical""]"
nsf,nsf08582,NSF 08 582 Mathematical Sciences Postdoctoral Research Fellowships MSPRF,2008-10-15,https://www.nsf.gov/pubs/2008/nsf08582/nsf08582.htm,"4,800,000",The purpose of the Mathematical Sciences Postdoctoral Research Fellowships MSPRF is to support future leaders in the mathematical sciences by enabling them to participate in research environments that will have maximal impact on their future scientific development . There will be two options for awardees Research Fellowship and Research Instructorship . Awards will be made for appropriate research in areas of the mathematical sciences including applications to other disciplines .,"[""research"",""mathematical"",""sciences""]"
nsf,nsf07573,NSF 07 573 Mathematical Sciences Postdoctoral Research Fellowships MSPRF,2007-10-17,https://www.nsf.gov/pubs/2007/nsf07573/nsf07573.htm,"3,800,000",The purpose of the Mathematical Sciences Postdoctoral Research Fellowships MSPRF is to support future leaders in the mathematical sciences by enabling them to participate in research environments that will have maximal impact on their future scientific development . There will be two options for awardees Research Fellowship and Research Instructorship . Awards will be made for appropriate research in areas of the mathematical sciences including applications to other disciplines .,"[""research"",""mathematical"",""sciences""]"
