,names,descriptions,titles,research
147,"Santi, Enrico","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A36301 Main StreetColumbia , SC 29208Dr . Santi s long term research interests are in the area of power electronics . You may have more interaction with power electronics than you think . If you drive a car , use a computer , cook with a microwave , talk on any type of telephone , listen to a stereo , or make holes with a cordless drill , then you come in contact with power electronics . Thanks to power electronics , the electricity needed to run the things you use everyday is processed , filtered , and delivered with maximum efficiency , smallest size and minimal weight . Current research interests are in modeling , control and simulation of advanced electrical power distribution systems , and physics based modeling of power semiconductor devices . In particular he is involved in the development of the Virtual Test Bed , a simulation based tool for rapid prototyping of power systems and power electronic devices . The test bed supports input from multiple simulation languages such as SPICE , ACSL , SABER , etc . Other research interests are in hardware in the loop simulation of electrical systems .']"
148,"Sasanakul, Inthuorn",Associate Professor,Faculty,['Geotechnical Engineering']
149,"Schooley, Benjamin",Associate Professor / Integrated Information Technology,Faculty,"['Health IT, health informatics, design science']"
150,"Shazly, Tarek ","Graduate Director, Biomedical Engineering",Faculty,"['Research Area 1 Interactions between implanted polymeric materials and soft tissuesMy early work was focused on understanding soft tissue material interactions for the purpose of optimizing surgical sealant performance . The publications that emerged from this line of inquiry impacted the field in two distinct ways . First , we provided the initial demonstration that adhesion is a tissue specific phenomenon that can be exploited in advanced material design . Second , these and related publications established novel design strategies to enhance adhesion strength without compromising material biocompatibility the power in these strategies is that they can be generalized across material systems and surgical sealant applications . Research Area 2 Characterization , assessment , and modeling of endovascular technologiesEndovascular technologies such as drug eluting stents , erodible scaffolds , and drug coated balloons have steadily evolved over the past 40 years . Multidisciplinary research approaches are needed to design , optimize , and evaluate emergent devices , typically requiring consideration of hemodynamics , drug pharmacokinetics , material mechanics , and device degradation erosion kinetics . To accommodate this inherent complexity in the face of rapid device development , regulatory agencies have begun to expect and nearly require predictive computational models which clearly explain the mechanism of action and potential risk of new technologies . To meet this field demand , our work has been focused on the development of finite element based computational models and design deployment strategies to facilitate the continued advancement of endovascular technologies and their safe introduction into clinical practice . Research Area 3 Experimental and theoretical biomechanical studies on native and engineered blood vesselsThe identification of constitutive mechanical models of vascular tissue is essential for quantifying the local environment of mechanosensitive vascular cells in normal and disease states , understanding mechanically mediated vascular tissue remodeling , and providing a basis for the engineering of vascular tissue substitutes . Publications in these areas have been impactful in terms of providing data and models for previously understudied yet critical regions of the circulatory system , applying continuum mechanical principles to explain intra vessel variations in geometry , properties , and composition , and introducing tissue engineered constructs which exhibit enhanced matrix elaboration and thus potential as vascular substitutes .']"
151,"Shepherd, Jeremiah","Instructor, Computer Science & Engineering",Faculty,['JJ Shepherd teaches CSCE 145 and 146 courses .']
152,"Sheth, Amit","Founding Director, Artificial Intelligence Institute and Professor, Computer Science & Engineering",Faculty,"['Artificial Intelligence, Big and Smart Data, Knowledge Graphs, Knowledge-infused Learning, Semantic Cognitive Perceptual Comput']"
153,"Shimpalee, Sirivatch","Research Professor, Chemical Engineering",Faculty,"['Horizon 1Room 439541 Main StreetColumbia , SC 29208Ph . D . , University of South Carolina , Columbia , 2001M . S . , Bradley University , 1998B . S . , Chiang Mai University , Thailand , 1992Dr . Shimpalee s current research is in the area of renewable energy including fuel cells , energy storage , high temperature thermal system , and bioenergy . His expertise is to use multi scale and multi dimensional modeling combine with electrochemistry to understand the physics inside their complex systems particularly in the transport phenomena .']"
154,"Simin, Grigory","Undergraduate Director, Electrical Engineering",Faculty,"['SwearingenRoom 3A16301 Main StreetColumbia , SC 29208']"
155,"Smoak, Wilson","Capstone Instructor, Electrical Engineering",Faculty,"['Wilson Smoak is the instructor and coordinator for our Capstone Design Courses , ELCT 403 404 in Electrical Engineering Department , following a successful career in design of digital electronics , most recently for Intel .']"
156,"Sockalingam, Subramani ","Assistant Professor, Mechanical Engineering",Faculty,"['Finite element analysis, composites, computational mechanics, experimental mechanics']"
157,"Spinale, Frank G.","Professor, Cell Biology & Anatomy",Faculty,"['Francis G . Spinale , MD , PhD , an internationally renowned cardiovascular scientist , has directed a translational research effort in the thematic area of cardiovascular remodeling with a particular focus upon heart failure , the main cause of death and disability in South Carolina , for over the past two decades . The mechanistic , translational , and clinical studies he has been working on will advance our understanding and potential treatment for major causes of heart failure in patients . He is also an entrepreneur with patents and a NIH Small Business Technology Transfer grant to develop a microdialysis microfluidics delivery system for cardiac surgery . Additionally , Dr . Spinale serves on the ditorial board of seven prestigious scientific journals and is a consultant to various pharmaceutical companies and biotechnology companies . To his credit , he also has over 400 peer reviewed publications in leading cardiovascular journals and is a fellow of several professional societies , including the American Heart Association and the American College of Cardiology . He has been invited to present his research both nationally and internationally at major scientific meetings , universities , and congresses conferences . Dr . Spinale is the director of the Cardiovascular Translational Research Center , and he has pioneered various projects for cardiac research while working to collaborate with other departments and faculty between the SOM and VA .']"
158,"Srivastava, Biplav",Professor,Faculty,"['Artificial Intelligence, Services, Smarter Cities (Water, Health, Traffic)']"
159,"Stanford, Thomas G.","Professor Emeritus, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 2C05301 Main StreetColumbia , SC 29208Ph . D . , University Of Michigan , 1977 . M . S . Math , University of Michigan , 1969']"
160,"Stiffler, Nick",Postdoctoral Associate,Staff,['Robotics']
161,"Sudarshan, Tangali S.","Carolina Distinguished Professor Emeritus, Electrical Engineering",Staff,"['SwearingenRoom 3A17301 Main StreetColumbia , SC 29208Dr . Sudarshan s specializations and research interests include']"
162,"Summers, Bill ","Adjunct Professor, Mechanical Engineering",Faculty,"['Dr . Summers is the Manager of Hydrogen Programs within the Hydrogen Technology Laboratory , Savannah River Technology Center SRTC . He has extensive experience in new product development and project management , including over 30 years of experience in the field of advanced energy systems . He has been with Westinghouse Savannah River Company WSRC since 1992 . Dr . Summers has led numerous programs to analyze and develop emerging technologies . He was the program manager for the development of the world s first hybrid hydrogen electric transit bus . The bus was the first hydrogen vehicle in commercial service in the U . S . , and it utilized the world s largest onboard metal hydride storage system . Dr . Summers also organized and managed a project to develop an Industrial Fuel Cell Vehicle using solid state hydrogen storage . He also managed a fuel cell mining vehicle project funded by the DOE OIT Industries of the Future Program . Currently , Dr . Summers is the Principal Investigator for a three year study to assess the feasibility of nuclear hydrogen production for the DOE Office of Nuclear Energy , Science and Technology DOE NE . In addition to program management , Dr . Summers is involved with the research and development of hydrogen storage materials and associated technologies . His research involves the engineering of hydrogen storage beds and the development of mathematical models to analyze bed performance , including heat transfer enhancement . He is currently the chairman of a national working group that is developing the first commercial codes and standards for metal hydride containers for hydrogen storage . Dr . Summers is also a member and site representative in the National Hydrogen Association , and represents SRTC on the Fuel cell Propulsion Institute Board of Directors , where he is a charter member . He recently served as Chairman for the First Annual Hydrogen Storage Workshop , a major national meeting focused on R D for hydrogen storage . Dr . Summers also co chaired a national workshop to help establish an R D plan for nuclear hydrogen production for DOE NE .']"
163,"Sur, Sanjib ","Assistant Professor, Computer Science and Engineering",Faculty,"['Wireless networking, Mobile computing, Millimeter-wave, Terahertz']"
164,"Sutton, Michael",Distinguished Professor,Faculty,"['Dr . Sutton s research and interests include coherent and incoherent optics applications , experimental mechanics , digital image processing , Computer Vision , applications of integral methods and experimental mechanics , boundary valve problems , plastic fracture mechanics , finite elements modeling of cracked bodies .']"
165,"Taheri-Qazvini, Nader ",Assistant Professor,Faculty,"['Soft Matter, Polymer Science, Hybrid Materials, Glassy Dynamics, 2D Materials']"
166,"Tan, Wenbin",Associate Professor,Faculty,['vascular biology']
167,"Tang, Chuanbing",Professor,Faculty,"['Polymer, Biomaterials']"
168,"Tang, Jijun","Professor, Graduate Director, Associate Infrastructure Director (HPC), Computer Science & Engineering",Faculty,"['algorithm, computational biology, game']"
169,"Thatcher, Matt E. ","Professor, Chair, Computer Science & Engineering",Faculty,"['My research examines the strategic and economic impacts of information technology IT with a focus on four themes IT value , software patent policy design , IT offshoring , and the social costs of information privacy .']"
170,"Tong, Yan","Associate Professor, Acting Director of Graduate Studies, Computer Science & Engineering",Faculty,['Professor Tong s research interests focus on computer vision and pattern recognition especially on human computer interaction including but not limited to']
171,"Tooren, Michel  van","Professor, Mechanical Engineering",Faculty,"['Dr . van Tooren s research interest include Design Automation , Knowledge Based Engineering , Alternative aircraft concepts , Composite aircraft fuselages , Aircraft Certification , Systems Engineering and Road vehicle aerodynamics .']"
172,"Uline, Mark J.","Program Director, Biomedical Engineering",Faculty,"['Statistical Mechanics, Thermodynamics, Biophysics, Soft Matter, Nucleation']"
173,"Valafar, Homayoun",Professor; Associate Chair of Research,Faculty,"['Computational Biology, Bioinformatics, Artificial Intelligence, Machine Learning, Neural Information Processing']"
174,"Valtorta, Marco","Professor, Computer Science and Engineering",Faculty,['Artificial Intelligence']
175,"Van Brunt, Vincent","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Ph . D . , University of Tennessee , 1974M . S . , Polytechnic University , 1971B . S . , Carnegie Mellon University , 1967']"
176,"Vargas, Juan","Adjunct Professor, Computer Science & Engineering",Faculty,['Dr . Vargas is a adjunct professor for the Computer Science and Engineering Department .']
177,"Vidal, Jose M. ","Professor, Director of Undergraduate Studies, Computer Science & Engineering",Faculty,"['multiagent systems, agent-based modeling, artificial intelligence, distributed systems']"
178,"Viparelli, Enrica",Associate Professor,Faculty,"['2018 Present Associate Professor , Civil and Environmental Engineering , University of South Carolina , Columbia2012 2017 Assistant Professor , Civil and Environmental Engineering , University of South Carolina , Columbia']"
179,"Vitzilaios, Nikolaos (Nikos)",Assistant Professor,Faculty,"['Dr . Vitzilaios research interests are in the broad area of Autonomous Unmanned Systems and include Robotics , Intelligent Systems , Mechatronics , Unmanned Aircraft Systems UAS , perception and autonomous navigation of mobile robots , operational autonomy , field robotics , robot teams , automation , control systems , and machine learning .']"
180,"Vogt, Thomas",Distinguished Professor of Chemistry and Biochemistry,Faculty,"['Chemistry, Physics, Materials Science']"
181,"Wang, Guiren","Associate Professor, Mechanical Engineering, Biomedical Engineering",Faculty,"['micro/nanofluidics, lab-on-a-chip, super-resolution imaging, cancer detection, turbulence and mixing.']"
182,"Wang, Guoan","Graduate Director, Electrical Engineering",Faculty,"['SwearingenRoom 3A12301 Main StreetColumbia , SC 29208']"
183,"Wang, Song","Professor, Research Director, Chair of the Tenure and Promotion Committee, Computer Science & Engineering",Faculty,"['Computer Vision, Image Processing, Machine Learning']"
184,"Wang, Xiaofeng","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A20301 Main StreetColumbia , SC 29208']"
185,"Wang, Yi",Associate Professor,Faculty,"['Curriculum Vitae pdf iMSEL LabDr . Wang s research interests include Computational and data enabled science and engineering CDS E and its applications in multiphysics and multiscale systems engineering , including fluid structural interaction , microfluidics nanofluidics , thermal and energy management , additive manufacturing , among others . The specific focuses are 1 physics based adaptive modeling , from high fidelity multiphysics CFD FEM analysis to reduced order modeling and closed form modeling for real time simulation , trade space exploration , and process control 2 data driven multi fidelity surrogate modeling for multidisciplinary analysis and optimization , large scale system level simulation , and adaptive model integration 3 massive and real time data analytics , discovery , and management , including engineering data mining , parameter estimation , uncertainty quantification , machine learning , and green computing visualization and 4 systems engineering of microfluidics nanofluidics , including model development , system design , control synthesis , hardware development , and experimentation , with the long term goal towards engineering intelligenceL . M . Lee , J . M . Rosanoa , Y . Wang , C . J . Garsona , B . Prabhakarpandiana , K . Pant G . J . Klarmannc , L . M . Alvarez , and E . Lai , Label Free Mesenchymal Stem Cells Enrichment from Bone Marrow by Spiral Inertial Microfluidics , Analytical Methods , 10 , 713 721 , 2018']"
186,"Wei, Xiaojun",Postdoctoral Research Associate,Staff,"['Biomedical Engineering, Functional Nanoparticles, Nanopore, Biosensor']"
187,"Wells, James R.",Research Professor,Faculty,"['School of MedicineVA CampusBld . 46311 Garners Ferry RdProfessor Wells clinical research focuses on analysis of HPV infection in freshly resected tissue specimens . The purpose of this study is to determine the presence , expression and type of HPV in HNSCC tumor specimens and to investigate markers of specific pathways of tumor development , with particular attention to biomarkers and pathways that may be different between HPV positive and HPV negative cancers , and between African American and European American patients . Biomarkers Predict p53 Gene Therapy Efficacy in Recurrent Squamous Cell Carcinoma of the Head and Neck Clinical Cancer Research . Dec . 2009 .']"
188,"White, Ralph E.","Professor, Chemical Engineering",Faculty,"['CV of Dr . WhitePh . D . , University of California Berkeley , 1977M . S . , University of California Berkeley , 1973']"
189,"Williams, Christopher","Undergraduate Director, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 2C15301 Main StreetColumbia , SC 29208The Williams group research interests are in the area of heterogeneous catalysis and surface science , with a particular focus on studying solid liquid catalytic interfaces . Catalysis carried out in the liquid phase is very important for applications such as fine chemicals and pharmaceutical production , and in the production of new fuels from biorenewable resources . Our primary research involves the development and application of in situ or operando surface vibrational spectroscopic methods to study adsorption and catalysis at solid catalyst surfaces under industrially relevant reaction conditions i . e . , in the liquid phase and or at high gas pressures and temperatures . Specific techniques under development in our group include surface enhanced Raman spectroscopy SERS , attenuated total reflection infrared ATR IR spectroscopy , and sum frequency spectroscopy SFS . The information obtained with these approaches allows us to develop a molecular level understanding of the catalytic mechanisms that govern the function of heterogeneous catalysts under reaction conditions . Such understanding is critical if we wish to rationally design catalysts for specific applications in the future . Current reaction systems of interest include enantioselective hydrogenation of alpha ketoesters and alkenoic acids selective oxidation of alcohols , including especially glycerol , which is the major byproduct in biodiesel production hydrodeoxygenation of biomass derived organic acids and acid esters to hydrocarbon fuel and electrocatalytic reduction of carbon dioxide to hydrocarbons . Catalysts under investigation involve both polycrystalline transition metals and oxide supported mono and bimetallic nanoparticle catalysts . The latter materials are prepared either through traditional catalyst synthesis methods or more novel protocols under development e . g . , dendrimer metal nano composites , electroless deposition that allow for control of size and composition on the nanoscale . The Williams group is currently funded by the National Science Foundation , and by a variety of industrial sources .']"
190,"Won, Sang Hee","Associate Professor, Mechanical Engineering; Interim Director, Aerospace Engineering Program",Faculty,"['combustion, flames, fuels, propulsion, chemical kinetics']"
191,"Wu, Dezhi",Associate Professor,Faculty,"['Human-Computer Interaction & UX Design, Health IT, AI, Behavioral Information Security, & Big Data Analytics']"
192,"Xu, Songhua",Associate Professor,Faculty,"['Songhua Xu s research interests are in areas of health information technology , including medical , health and cancer informatics artificial intelligence , including personalization , information retrieval , knowledge management , recommender systems and text and image mining patent informatics and intelligent software for practitioners in intellectual property law computer graphics and interactive techniques for multimedia visualization and visual analytics intelligent user interfaces .']"
193,"Xue, Xingjian (Chris) ","Associate Professor, Mechanical Engineering",Faculty,"['Dr . Xue s research interests include Solid Oxide Fuel Cells , Solid Oxide Electrolysis Cells , Gas Separation Membranes , Materials for Electrochemical Energy Conversion and Storage , Reliability and Durability of Functional and Structural Materials , Transport Phenomena and Electrochemical Kinetics .']"
194,"Yoon, Yeomin","Professor, Civil and Environmental Engineering",Faculty,"['Water treatment, membrane filtration, adsorption, sonodegradation, nanotechnology']"
195,"Yu, Lingyu ","Associate Professor, Mechanical Engineering",Faculty,"['Structural Health Monitoring, Ultrasonics, Vibration']"
196,"Yuan, Lang",Associate Professor,Faculty,"['Solidification, Microstructure Modelling, Additive Manufacturing, Discrete Element Modelling']"
197,"Zand, Ramtin","Assistant Professor, Computer Science and Engineering",Faculty,"['Dr . Zand s research interests involve Hardware Design for Machine Learning Systems , Neuromorphic Computing , Emerging Nanoscale Electronics including spintronic devices , Reconfigurable and Adaptive Computer Architectures , and Low Power and Reliability Aware VLSI Circuits .']"
198,"Zhang, Bin","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A22301 Main StreetColumbia , SC 29208']"
199,"Zhang, Qi",Assistant Professor,Faculty,"['My research interest is in artificial intelligence and reinforcement learning . The long term goal of my research is to build safe , reliable , and trustworthy AI systems that retain their power and flexibility to handle complex , diverse contexts . To this end , I develop and analyze decision making algorithms for uncertain , dynamic environments .']"
200,"Zhou, Caizhi",Associate Professor,Faculty,"['Mechanical metallurgy, dislocation dynamics, crystal plasticity, multiscale modeling, friction stir welding']"
201,"Ziehl, Paul",Associate Dean for Research,Faculty,"['Swearingen Engineering Center301 Main Street , Suite 3A41Columbia , SC 29208Dr . Paul Ziehl is the Associate Dean for Research in the College of Engineering and Computing at the University of South Carolina , where he serves to understand and align capabilities of the faculty and the research enterprise of the College . He is a professor of structural engineering in the Departments of Mechanical and Civil and Environmental Engineering . Dr . Ziehl has experience in the management of and interest in joint venture projects involving multiple universities and industrial collaborators . He has served as the Principal Investigator at the University of South Carolina for a four year NIST sponsored joint venture project for edge analytics and development of a commercially deployed wireless structural prognosis system .']"
